temps,croissance_A2,croissance_A4_2
427,0.5,-inf
428,0.5,-inf
429,0.5,-inf
430,0.5,-inf
431,0.5,-inf
432,0.5,-inf
433,0.5,-inf
434,0.5,-inf
435,0.5,-inf
436,0.5,-inf
437,0.5,-inf
438,0.5,-inf
439,0.5,-inf
440,0.5,-inf
441,0.5,-inf
442,0.5,-inf
443,0.5,-inf
444,0.5,-inf
445,0.5,-inf
446,0.5,-inf
447,0.5,-inf
448,0.5,-inf
449,0.5,-inf
450,0.5,-inf
451,0.5,-inf
452,0.5,-inf
453,0.5,-inf
454,0.5,-inf
455,0.5,-inf
456,0.5,-inf
457,0.5,-inf
458,0.5,-inf
459,0.5,-inf
460,0.5,-inf
461,0.5,-inf
462,0.5,-inf
463,0.5,-inf
464,0.5,-inf
465,0.5,-inf
466,0.5,-inf
467,0.5,-inf
468,0.5,-inf
469,0.5,-inf
470,0.5,-inf
471,0.5,-inf
472,0.5,-inf
473,0.5,-inf
474,0.5,-inf
475,0.5,-inf
476,0.5,-inf
477,0.5,-inf
478,0.5,-inf
479,0.5,-inf
480,0.5,-inf
481,0.5,-inf
482,0.5,-inf
483,0.5,-inf
484,0.5,-inf
485,0.5,-inf
486,0.5,-inf
487,0.5,-inf
488,0.5,-inf
489,0.5,-inf
490,0.5,-inf
491,0.5,-inf
492,0.5,-inf
493,0.5,-inf
494,0.5,-inf
495,0.5,-inf
496,0.5,-inf
497,0.5,-inf
498,0.5,-inf
499,0.5,-inf
500,0.5,-inf
